Title	Author	Year	Callnum
Perancangan user experience guidelines untuk aplikasi alat musik plano dalam device tablet	Ikhma Hariyanti	2013	SK-1205
Perbandingan kinerja TCP dan UDP pada IPV4 dan IPV6	Indra Ferry	2013	SK-1136
Perbandingan metode maximum LIKELIHOOD, random forest, dan neural network untuk klasifikasi pada fusi citra lidar dengan citra optik udara	Remmy August Menzata	2013	SK-1181
Perbandingan user experience ketika bernavigasi antara desain toggle menu dan top navigation menu pada mobile website melalui perangkat touchscreen	Febriya Hotriati Psalmerosi	2013	SK-1187
Prediksi harga saham ASII menggunakan jaringan syaraf tiruan	Muhammad Irfan	2013	SK-1191
Proses pengembangan sistem basis data menggunakan basis data berbasis document-store dan perbandingannya dengan proses pengembangan menggunakan basis data relasional	Raden Agung Yuga Dwitama	2013	SK-1169
Prototype sistem integrasi pendeteksian dini dan monitoring penyakit jantung berbasis sinyal elektrokardiogram	Muhamamd Anwar Ma'sum	2013	SK-1110
Rancangan model sistem informasi rumah sakit pendidikan: studi kasus RSUPN DR.Cipto Mangukusumo	Dinda Paramitha Wahyudi	2013	SK-1211
Simulasi byzabtine generals problem di sequence diagram dengan menggunakan ABS (Abstract behavioral specification)	Nur Ululasman	2013	SK-1217
Sistem fully homomorphic encryption gentry-halevi yang berdasarkan ideal lattice dan implementasinya menggunakan bahasa pemrograman sage	Hadi Saputro	2013	SK-1195
Sistem pembangkit puisi otomatis untuk bahasa indonesia menggunakan pendekatan constraint satisfaction problem	Fam Rashel Putraruddy Scala	2013	SK-1178
Skema Fully homomorphic encryption gentry versi integer dan implementasinya dengan menggunakan bahasa pemrograman python	Prahesa Kusuma Setia	2013	SK-1164
Theorem proving untuk linear logic dan implementasinya dalam prolog	Satyadharma Tirtarasa	2013	SK-1163
Traffic information gathering: estimasi jumlah kendaraan dan kecepatan kendaraan dan kecepatan kendaraan pada malam hari menggunakan kamera tunggal	Ibnu Sina	2013	SK-1188
Analisa kinerja address resolution protocol spoofing	Teofilus G.S.	2012	SK-1069
Analisis dampak dari penerapan sistem e-procurement serta tingkat kematangannya pada PT. PLN (Persero)	Yuanisa Ditari	2012	SK-1000
Analisis dan evaluasi algoritma insert dan delete modul BTRFS pada sistem operasi GNU/LINUX	Ikhwanur Septiadi	2012	SK-1060
Analisis dan pengukuran tingkat kematangan implementasi keamanan informasi di Perusahaan : studi kasus PT XYZ	Tommy Kurniawan	2012	SK-1035
Analisis dan perancangan sisten enterprise resource planning pada fungsi bisnis production management: studi kasus usaha mikro kecil dan menengah	Ahmad Mahmudi Yunus	2012	SK-1047
Analisis fase dan persepsi karyawan terhadap knowledge sharing pada perusahaan konsultan TI	Ika Chandra Hapsari	2012	SK-1036
Analisis fitur Electronic Document Management System (EDMS) untuk aplikasi Customer Relationship Management (CRM) - sales force automation berdasarkan aktivitas proses penjualan	Ernita Fauzia	2012	SK-1055
Analisis fitur Electronic Document Management System (EDMS) untuk aplikasi Customer Relationship Management (CRM) - service automation pada kegiatan problem complain	Evita Yustia	2012	SK-1054
Analisis fitur electronic customer relasionship management (E-CRM) pada layanan internet banking : studi kasus  bank XYZ	Ulil Amri Kamili	2012	SK-1083
Analisis fitur media social dalam mendukung peningkatan interaksi dan hubungan dengan pelanggan pada  e-commerce b2c: studi kasus BLIBLI.COM	Noor Rahmanto Ragil Utomo	2012	SK-1051
Analisis fungsionalitas customer relasionship management pada modul marketing automation untuk destination management system: studi kasus XYZCOM	Yessica Sari	2012	SK-1044
Analisis fungsionalitas modul sales force automation dan service automation pada aplikasi customer relationship management untuk destination management system: studi kasus XYZ.com	Putri Khusnus Khotimah	2012	SK-1042
Analisis human motion berbasis principal component analysis dan dynamic time warping menggunakan kinect	Vega Prima Sagitara	2012	SK-1080
Analisis keselarasan bisnis dan teknologi informasi di PT Aplikanusa Lintasarta	Yuni Wulandari	2012	SK-1017
Analisis kesenjangan antara tujuan yang ingin dicapai dan software requirement saat ini menggunakan metode goal-oriented requirement engineering (GORE) dan pendekatan KAOS: studi kasus sistem SPD online PT Rekayasa Industri	Itsna Imroatus Sholihah	2012	SK-1096
